Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Access Type,Source,EID
"Liang Y.","An new efficient evolutionary approach for dynamic optimization problems",2009,"Proceedings - 2009 IEEE International Conference on Intelligent Computing and Intelligent Systems, ICIS 2009","1",, 5357932,"61","65",,1,10.1109/ICICISYS.2009.5357932,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949608257&doi=10.1109%2fICICISYS.2009.5357932&partnerID=40&md5=272369dd3530406678e9cadef371a9dd","Dynamic optimization; Evolutionary algorithms","Control variable; Dynamic environments; Dynamic optimization; Dynamic optimization problems; Dynamic problem; Evolution strategies; Evolutionary approach; Evolutionary optimizations; Evolutionary search; Fitness landscape; Fitness values; Local optimal; ON dynamics; Search spaces; Self adaptation; Intelligent computing; Intelligent systems; Optimization; Vector spaces; Vectors; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-77949608257
"Liang Y.","Efficient fitness estimation and genetic operation in dynamic environments",2009,"2009 1st International Conference on Information Science and Engineering, ICISE 2009",,, 5454460,"207","210",,,10.1109/ICISE.2009.538,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952773299&doi=10.1109%2fICISE.2009.538&partnerID=40&md5=23dc37342de1afa823f1e3b6873548e1","Dynamic optimization; Evolutionary algorithms","Control variable; Dynamic environments; Dynamic optimization; Dynamic optimization problems; Dynamic problem; Estimation methods; Evolutionary computations; Evolutionary optimizations; Evolutionary search; Fitness landscape; Fitness values; Genetic operations; Local optimal; ON dynamics; Particle swarm; Search spaces; Self adaptation; Estimation; Health; Information science; Vector spaces; Vectors; Particle swarm optimization (PSO)",Conference Paper,,Scopus,2-s2.0-77952773299
"Liang Y.","A novel genetic variable representation for dynamic optimization problems in evolutionary computation",2009,"ACM International Conference Proceeding Series","321",,,"45","52",,1,10.1145/1644993.1645002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954735675&doi=10.1145%2f1644993.1645002&partnerID=40&md5=400c3fcc6a48eb462ce2401f346ba0ee","dynamic optimization; evolutionary computation; genetic algorithms","Control variable; Dynamic environments; Dynamic optimization; Dynamic optimization problems; Dynamic problem; evolutionary computation; Evolutionary computations; Evolutionary optimizations; Evolutionary search; Fitness landscape; Fitness values; Local optimal; ON dynamics; Search spaces; Self adaptation; Calculations; Computation theory; Convergence of numerical methods; Information technology; Optimization; Vector spaces; Vectors; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-77954735675
"Richter H.","Detecting change in dynamic fitness landscapes",2009,"2009 IEEE Congress on Evolutionary Computation, CEC 2009",,, 4983135,"1613","1620",,50,10.1109/CEC.2009.4983135,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449824649&doi=10.1109%2fCEC.2009.4983135&partnerID=40&md5=d170e1f51b778508d0f003f1c0d88844",,"Change detection; Dynamic environments; Fitness landscape; Receiver operating characteristics; Statistical hypothesis testing; Evolutionary algorithms; Population statistics; Signal detection; Testing; Sensors",Conference Paper,,Scopus,2-s2.0-70449824649
"Zegordi S.H., Beheshti Nia M.A.","Integrating production and transportation scheduling in a two-stage supply chain considering order assignment",2009,"International Journal of Advanced Manufacturing Technology","44","9-10",,"928","939",,11,10.1007/s00170-008-1910-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349280458&doi=10.1007%2fs00170-008-1910-x&partnerID=40&md5=b7c9b794e206cb3fd2ca9fd855c5bf24","Genetic algorithm; Makespan; Scheduling; Supply chain management; Transportation","CPU time; Different speed; Dynamic genetic algorithms; Geographic zones; Makespan; Manufacturing companies; Mixed integer programming; Optimum solution; Order assignment; Random search approach; Transportation capacity; Two stage; Vehicle size; Genetic algorithms; Integer programming; Integration; Scheduling algorithms; Supply chains; Supply chain management",Article,,Scopus,2-s2.0-70349280458
"Tzimeas D., Mangina E.","Dynamic techniques for genetic algorithm-based music systems",2009,"Computer Music Journal","33","3",,"45","60",,6,10.1162/comj.2009.33.3.45,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73349117173&doi=10.1162%2fcomj.2009.33.3.45&partnerID=40&md5=a3275646766f18b94cfdd0b03046f8bc",,"Algorithmic design; Damped oscillators; Dynamic fitness function; Dynamic techniques; Equilibrium point; Function coefficients; Innovative ideas; Natural selection; Computer music; Computer simulation; Differential equations; Function evaluation; Oscillators (mechanical); Genetic algorithms",Article,,Scopus,2-s2.0-73349117173
"Yu D., Zeng S., Gao S., Yan Z., Shi Y., Yang X., Xiao B.","A dynamic evolutionary algorithm and its application in automated antenna design",2009,"2009 World Summit on Genetic and Evolutionary Computation, 2009 GEC Summit - Proceedings of the 1st ACM/SIGEVO Summit on Genetic and Evolutionary Computation, GEC'09",,,,"929","932",,1,10.1145/1543834.1543976,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650673009&doi=10.1145%2f1543834.1543976&partnerID=40&md5=fa4fd97acfc0b85e09cfe788fc31fdf4","Automated antenna design; Constrained optimization; Dynamic optimization; Evolutionary algorithms","Antenna design; Automated antenna design; Constrained problem; Dynamic optimization; General constrained optimization; Optimization problems; Space technologies; Antennas; Automation; Calculations; Design; Evolutionary algorithms; NASA; Problem solving; Semiconducting germanium compounds; Constrained optimization",Conference Paper,,Scopus,2-s2.0-67650673009
"Woldesenbet Y.G., Yen G.G.","Dynamic evolutionary algorithm with variable relocation",2009,"IEEE Transactions on Evolutionary Computation","13","3",,"500","513",,54,10.1109/TEVC.2008.2009031,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650114632&doi=10.1109%2fTEVC.2008.2009031&partnerID=40&md5=3dec7b49dca7c15737877effc79bb2ce","Adaptation; Dynamic evolutionary algorithm (DEA); Optimization; Relocation","Adaptation; Bench-mark problems; Computational costs; Decision variables; Dynamic optimization; Environmental conditions; Evolutionary approach; Evolutionary history; Evolutionary information; Evolutionary process; Faster convergence; Fitness functions; Fitness landscape; Function values; Objective space; Performance improvements; Real-world optimization; Transient stage; Uncertainty problems; Convergence of numerical methods; Data envelopment analysis; Function evaluation; Optimization; Evolutionary algorithms",Article,,Scopus,2-s2.0-67650114632
"Yan Y., Wang D.-W., Wang D.-Z., Wang H.-F.","Multiagent-based evolutionary algorithm for dynamic knapsack problem",2009,"Dongbei Daxue Xuebao/Journal of Northeastern University","30","7",,"948","951",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67849106755&partnerID=40&md5=45c03e53c3b84307dcdec7ad1b9783be","Diversity; Dynamic evolutionary algorithm; Knapsack problem; Multiagent; Random immigration","Diversity; Evaluation index; Grid-like; Knapsack problem; Knapsack problems; Living organisms; Multiagent; Optimum solution; Random immigration; Simulation result; Statistical data; Biology; Integer programming; Multiobjective optimization; Evolutionary algorithms",Article,,Scopus,2-s2.0-67849106755
"Weise T., Zapf M., Chiong R., Nebro A.J.","Why is optimization difficult?",2009,"Studies in Computational Intelligence","193",,,"1","50",,26,10.1007/978-3-642-00267-0_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65749114527&doi=10.1007%2f978-3-642-00267-0_1&partnerID=40&md5=2ee8c7fd61d58f06bdfbae955263d128",,,Editorial,,Scopus,2-s2.0-65749114527
"Awad M., Chehdi K., Nasri A.","Multi-component image segmentation using a hybrid dynamic genetic algorithm and fuzzy C-means",2009,"IET Image Processing","3","2",,"52","62",,30,10.1049/iet-ipr.2007.0213,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649132087&doi=10.1049%2fiet-ipr.2007.0213&partnerID=40&md5=09f340595b4fbc398182ef33e361dd77",,"Digital image storage; Fuzzy clustering; Fuzzy rules; Fuzzy systems; Genetic algorithms; Image acquisition; Image analysis; Self organizing maps; Strength of materials; A-priori; Existing methods; Fuzzy c-means; Hill-climbing; Hybrid dynamics; Hybrid genetic algorithms; Landsat ETM+; Multi-component image segmentations; Multi-component images; Mutation operators; Segmentation methods; Self-organizing; Unsupervised segmentation methods; Image segmentation",Article,,Scopus,2-s2.0-62649132087
"Bhattacharya M.","Handling uncertainty with a real-coded EA",2008,"GECCO'08: Proceedings of the 10th Annual Conference on Genetic and Evolutionary Computation 2008",,,,"2111","2116",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57349112402&partnerID=40&md5=6a5d5dc9308aa92b80178520e52e69ea","Evolutionary algorithm; Premature convergence; Uncertainty","Adaptive algorithms; Function evaluation; Health; Probability density function; Case based; Fitness functions; Local regressions; Noise terms; Noisy fitness functions; Premature convergence; Random immigrants; Selection processes; Self-adaptive; Solution spaces; Standard benchmarks; Uncertainty; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-57349112402
"Zhang Q., Wang B., Zhang R., Xu C.-X.","Genetic algorithm-based design for DNA sequences sets",2008,"Jisuanji Xuebao/Chinese Journal of Computers","31","12",,"2193","2199",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149295562&partnerID=40&md5=c46fac8520d168eeaf4a7c41cdbceac2","DNA sequence sets; Dynamic genetic algorithm; Genetic algorithm; Hamming distance; Reverse Hamming distance","Calculations; Combinatorial mathematics; Computer programming; DNA; Genes; Genetic algorithms; Genetic programming; Hamming distance; Information theory; Meats; Nucleic acids; Organic acids; Programming theory; Reliability; Coding theories; Distance constraints; DNA coding; DNA sequence sets; Key problems; Reverse Hamming distance; Upper bounds; DNA sequences",Article,,Scopus,2-s2.0-58149295562
[No author name available],"Hybrid Artificial Intelligence Systems - Third International Workshop, HAIS 2008, Proceedings",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5271 LNAI",,,"","",763,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449602480&partnerID=40&md5=da9c84319b0dcec622ed8d0c10824fe3",,,Conference Review,,Scopus,2-s2.0-70449602480
"Wirth N., Gallagher M.","An influence map model for playing Ms. Pac-Man",2008,"2008 IEEE Symposium on Computational Intelligence and Games, CIG 2008",,, 5035644,"228","233",,30,10.1109/CIG.2008.5035644,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349289679&doi=10.1109%2fCIG.2008.5035644&partnerID=40&md5=a492f12d76f42b8f6650a0cd9fa1957d",,"Agent based; Fitness functions; Global exploration; Greedy algorithms; Main parameters; Model parameters; Parameter spaces; Software systems; Artificial intelligence; Function evaluation; Game theory",Conference Paper,,Scopus,2-s2.0-70349289679
"Xiao B., Yu D., Zhang L., Tian X., Gao S., Zeng S.","A constrained dynamic evolutionary algorithm with adaptive penalty coefficient",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5271 LNAI",,,"103","112",,,10.1007/978-3-540-87656-4_14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350521490&doi=10.1007%2f978-3-540-87656-4_14&partnerID=40&md5=efe3b00dcfa41e0929c433c671cef38e",,"Adaptive penalty; Bench-mark problems; Constrained dynamics; Constraint functions; Crossover operator; Effective algorithms; Feasible regions; High-dimensional problems; Local optimal; Objective functions; Penalty coefficient; Penalty function; Standard deviation; Artificial intelligence; Evolutionary algorithms; Mathematical operators; Adaptive algorithms",Conference Paper,,Scopus,2-s2.0-70350521490
"Awad M., Chehdi K., Nasri A.","Enhancement of the segmentation process of multi-component images using fusion with genetic algorithm",2008,"2008 5th International Multi-Conference on Systems, Signals and Devices, SSD'08",,, 4632876,"","",,2,10.1109/SSD.2008.4632876,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649109814&doi=10.1109%2fSSD.2008.4632876&partnerID=40&md5=2499155b8de8174e8f4198f88b796eff","Fusion; Genetic algorithm; Satellite image; Segmentation; Unsupervised","Algorithms; Combines; Conformal mapping; Diesel engines; Digital image storage; Fusion reactions; Genetic algorithms; Image processing; Image segmentation; Remote sensing; Security of data; Space optics; Cooperation methods; Etm+ images; Functional models; Fusion; Fusion methods; Hybrid dynamics; Isodata; Landsat 7; Satellite image; Segmentation; Segmentation methods; Segmentation processes; Segmented images; Self-organizing; Self-organizing maps; Stability factors; Unsupervised; Image enhancement",Conference Paper,,Scopus,2-s2.0-56649109814
"Prestwich S., Tarim S.A., Rossi R., Hnich B.","A steady-state genetic algorithm with resampling for noisy inventory control",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5199 LNCS",,,"559","568",,6,10.1007/978-3-540-87700-4_56,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56449086193&doi=10.1007%2f978-3-540-87700-4_56&partnerID=40&md5=0c1e4ca3086eeeba0d51ab87670d2941",,"Algorithms; Chromosomes; Diesel engines; Function evaluation; Genetic algorithms; Genetic engineering; Inventory control; Population statistics; Sampling; Algorithms; Chromosomes; Genetic algorithms; Inventory control; Evolutionary computations; Genetic diversities; Inventory control problems; Noise distributions; Noisy fitness functions; Re samplings; Runtime parameters; Problem solving; Problem solving; Fitness functions; Genetic diversity; Inventory control problems; Noise distribution; Number of samples; Resampling technique; Run time parameters; Steady-state genetic algorithms",Conference Paper,,Scopus,2-s2.0-56449086193
"Santana R., Larrañaga P., Lozano J.A.","Component weighting functions for adaptive search with EDAs",2008,"2008 IEEE Congress on Evolutionary Computation, CEC 2008",,, 4631352,"4066","4073",,4,10.1109/CEC.2008.4631352,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55849122303&doi=10.1109%2fCEC.2008.4631352&partnerID=40&md5=dd7bf682975b55811ca510e350395bab",,"Function evaluation; Optimization; Probability density function; Probability distributions; Adaptive searches; Dynamic fitness functions; Estimation of distribution algorithms; Fitness functions; Probabilistic modeling; Statistical informations; Weighting functions; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-55849122303
"Bhattacharya M.","DPGA: A simple distributed population approach to tackle uncertainty",2008,"2008 IEEE Congress on Evolutionary Computation, CEC 2008",,, 4631351,"4061","4065",,1,10.1109/CEC.2008.4631351,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55749106726&doi=10.1109%2fCEC.2008.4631351&partnerID=40&md5=2457ef9cb3c3d153ca2d9c6c4b90d18c",,"Adaptive algorithms; Benchmarking; Boolean functions; Evolutionary algorithms; Function evaluation; Genetic algorithms; Health; Optimization; Probability density function; Benchmark-test problems; Case based; Fitness functions; Local regressions; Noisy environments; Optimization problems; Optimizers; Random immigrants; Selection processes; Self-adaptive; Solution spaces; Specific problems; Superior performances; Time variants; Problem solving",Conference Paper,,Scopus,2-s2.0-55749106726
"Fernandes C.M., Merelo J.J., Rosa A.C.","Tracking extrema in dynamic fitness functions with dissortative mating enetic algorithms",2008,"Proceedings - 8th International Conference on Hybrid Intelligent Systems, HIS 2008",,, 4626606,"59","64",,2,10.1109/HIS.2008.52,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349083006&doi=10.1109%2fHIS.2008.52&partnerID=40&md5=5d8bcb7298afd0467821fc9e07380770",,"Dynamic fitness functions; Dynamic problems; ON dynamics; Population diversities; Random mating; Trap functions; Algorithms; Diesel engines; Function evaluation; Genetic algorithms; Hamming distance; Intelligent control; Intelligent systems; Probability density function; Adaptive algorithms",Conference Paper,,Scopus,2-s2.0-55349083006
[No author name available],"Proceedings - Eighth International Conference on Hybrid Intelligent Systems, HIS 2008",2008,"Proceedings - 8th International Conference on Hybrid Intelligent Systems, HIS 2008",,,,"","",990,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349136616&partnerID=40&md5=65977237c5204acd6380316aefb0e31e",,,Conference Review,,Scopus,2-s2.0-55349136616
"Richter H., Yang S.","Memory based on abstraction for dynamic fitness functions",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","4974 LNCS",,,"596","605",,20,10.1007/978-3-540-78761-7_65,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47249156791&doi=10.1007%2f978-3-540-78761-7_65&partnerID=40&md5=d3f5dda02dc942c923db28cb0d9ed114",,"Abstracting; Computation theory; Function evaluation; Approximate location; Dynamic environments; Dynamic optimization problem (DOP); European; Evolutionary computation (EC); Evolutionary computing; Fitness functions; Heidelberg (CO); Search spaces; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-47249156791
"Zinchenko L., Radecker M., Bisogno F.","A comparison of fitness function evaluation schedules for multi-objective univariate marginal distribution optimization of mixed analog-digital signal circuits",2008,"Proceedings of SPIE - The International Society for Optical Engineering","7025",, 70251P,"","",,,10.1117/12.802537,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349091442&doi=10.1117%2f12.802537&partnerID=40&md5=b720fddad379afa14e9b1e48e6a863fb","Evolutionary design; Fitness function schedule; Mixed analog-digital circuits; Optimization","Computational complexity; Dynamic programming; Evolutionary algorithms; Hierarchical systems; Multiobjective optimization; Computational costs; Evolutionary design; Fitness function schedule; Mixed analog-digital circuits; Analog to digital conversion",Conference Paper,,Scopus,2-s2.0-44349091442
"Prestwich S.D., Tarim S.A., Rossi R., Hnich B.","A cultural algorithm for pomdps from stochastic inventory control",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5296 LNCS",,,"16","28",,3,10.1007/978-3-540-88439-2_2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57049126222&doi=10.1007%2f978-3-540-88439-2_2&partnerID=40&md5=2efad0e5634075b5639efbc197011079",,"Algorithms; Artificial intelligence; Diesel engines; Evolutionary algorithms; Genetic algorithms; Genetic engineering; Inventory control; Learning systems; Reinforcement; Reinforcement learning; Technical presentations; Belief spaces; Convergence properties; Cultural Algorithms; Eligibility traces; Evolutionary computations; Markovian; Memoryless policies; Partially observable markov decision processes; Reinforcement Learning algorithms; Share knowledges; Stochastic inventories; Learning algorithms",Conference Paper,,Scopus,2-s2.0-57049126222
"Woldesenbet Y.G., Yen G.G.","Dynamic evolutionary algorithm with variable relocation vectors",2007,"2007 IEEE Congress on Evolutionary Computation, CEC 2007",,, 4424684,"1748","1755",,2,10.1109/CEC.2007.4424684,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55749100126&doi=10.1109%2fCEC.2007.4424684&partnerID=40&md5=f88671f7f000d1c6d694f94437553641",,"Optimization problems; Relocation vectors; Uncertainty problems; Computation theory; Information analysis; Optimization; Problem solving; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-55749100126
"Teytaud O., Auger A.","On the adaptation of noise level for stochastic optimization",2007,"2007 IEEE Congress on Evolutionary Computation, CEC 2007",,, 4424857,"3027","3034",,4,10.1109/CEC.2007.4424857,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955243436&doi=10.1109%2fCEC.2007.4424857&partnerID=40&md5=406f864dcf945116181cb81ae76eb733",,"Fitness functions; Linear convergence; Computational efficiency; Convergence of numerical methods; Markov processes; Noise abatement; Optimization; Theorem proving; Adaptive algorithms",Conference Paper,,Scopus,2-s2.0-79955243436
"Graham L., Oppacher F., Christensen S.","Irreducible complexity in a genetic algorithm",2007,"2007 IEEE Congress on Evolutionary Computation, CEC 2007",,, 4424951,"3692","3697",,,10.1109/CEC.2007.4424951,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955354497&doi=10.1109%2fCEC.2007.4424951&partnerID=40&md5=7524bf3f652887983e382b661c89cced",,"Dynamic fitness function; Irreducible complexity; Function evaluation; Large scale systems; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-79955354497
"Tsai C.-F., Chao K.-M.","An effective chromosome representation for optimising product quality",2007,"Proceedings of the 2007 11th International Conference on Computer Supported Cooperative Work in Design, CSCWD",,, 4281581,"1032","1037",,7,10.1109/CSCWD.2007.4281581,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-47649124762&doi=10.1109%2fCSCWD.2007.4281581&partnerID=40&md5=e86a175b37b4c08e5418676f3344d659","Dynamic genetic algorithms; Multiple supply chain optimizations; Weight rankings and contribution ratio","Algorithms; Chlorine compounds; Chromosomes; Customer satisfaction; Diesel engines; Genetic algorithms; Groupware; Interactive computer systems; Problem solving; Quality assurance; Quality function deployment; Supply chain management; Supply chains; Total quality management; Chromosome structure; Computer-supported cooperative work; Domain knowledge; Dynamic genetic algorithms; International conferences; Multiple supply chain optimizations; New approaches; Problem domains; Product qualities; Schema evolution; Searching efficiency; Weight rankings and contribution ratio; Quality control",Conference Paper,,Scopus,2-s2.0-47649124762
"Mehnen J., Trautmann H., Tiwari A.","Introducing user preference using desirability functions in multi-objective evolutionary optimisation of noisy processes",2007,"2007 IEEE Congress on Evolutionary Computation, CEC 2007",,, 4424810,"2687","2694",,9,10.1109/CEC.2007.4424810,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-43649093896&doi=10.1109%2fCEC.2007.4424810&partnerID=40&md5=523eb5fb86db98e02c1589ea63638354",,"Desirability functions; Fitness functions; Noisy cost estimation problem; User preference; Behavioral research; Customer satisfaction; Functional analysis; Multiobjective optimization; Pareto principle; Problem solving; Evolutionary algorithms",Conference Paper,,Scopus,2-s2.0-43649093896
"Bhattacharya M.","Surrogate based EA for expensive optimization problems",2007,"2007 IEEE Congress on Evolutionary Computation, CEC 2007",,, 4424972,"3847","3857",,7,10.1109/CEC.2007.4424972,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955182339&doi=10.1109%2fCEC.2007.4424972&partnerID=40&md5=8d62c7e9715a6cbbbfb33b427dca0b9f",,"Dynamic Approximate Fitness; Fitness function evaluation; Metamodeling; Approximation theory; Evolutionary algorithms; Function evaluation; Mathematical models; Optimization; Support vector machines; Problem solving",Conference Paper,,Scopus,2-s2.0-79955182339
"Eppstein M.J., Payne J.L., White B.C., Moore J.H.","Genomic mining for complex disease traits with ""random chemistry""",2007,"Genetic Programming and Evolvable Machines","8","4",,"395","411",,14,10.1007/s10710-007-9039-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36148957819&doi=10.1007%2fs10710-007-9039-5&partnerID=40&md5=e693ae6570cae17916705bcc0198ba20","Complex traits; Data mining; Epistasis; Evolutionary algorithms; Feature selection; Genome-wide association studies; Single nucleotide polymorphisms","Complex traits; Epistasis; Genome-wide association studies; Single nucleotide polymorphisms; Computational methods; Data mining; Data structures; Diseases; Evolutionary algorithms; Feature extraction; Genetic engineering",Article,,Scopus,2-s2.0-36148957819
"Graham L.K., Christensen S., Oppacher F.","A simple genetic algorithm for reducible complexity",2007,"Proceedings of GECCO 2007: Genetic and Evolutionary Computation Conference",,,,"1514","",,,10.1145/1276958.1277243,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548096462&doi=10.1145%2f1276958.1277243&partnerID=40&md5=887f9e04c61f7cb11d1738232baf10ab","Complexity; Evolution; Genetic algorithms","Computational complexity; Dynamic programming; Function evaluation; Problem solving; Dynamic fitness function; Gradualistic evolution; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-34548096462
"Li R., Eggermont J., Emmerich M.T.M., Bovenkamp E.G.P., Back T., Dijkstra J., Reiber J.H.C.","Towards dynamic fitness based partitioning for intravascular ultrasound image analysis",2007,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","4448 LNCS",,,"391","398",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548063832&partnerID=40&md5=513faa520b80f66959d87370b5c59cdd",,"Parameter estimation; Patient treatment; Ultrasonics; IntraVascular UltraSound (IVUS); MixedInteger Evolution Strategies (MI-ES); Image analysis",Conference Paper,,Scopus,2-s2.0-34548063832
"Sastry K., Goldberg D.E.","Let's get ready to rumble redux: Crossover versus mutation head to head on exponentially scaled problems",2007,"Proceedings of GECCO 2007: Genetic and Evolutionary Computation Conference",,,,"1380","1387",,5,10.1145/1276958.1277215,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548099760&doi=10.1145%2f1276958.1277215&partnerID=40&md5=d789e68b5626e46db299dc8ff5370689","Building blocks; Convergence time; Crossover; Domino convergence; Drift time; Efficiency enhancement; Exponential scaling; Genetic algorithms; Mutation; Noisy fitness functions; Population sizing; Salience; Scalability analysis; Scaling; Speedup","Convergence of numerical methods; Mathematical models; Problem solving; Random processes; Tabu search; Building blocks; Convergence time; Domino convergence; Drift time; Efficiency enhancement; Exponential scaling; Mutation; Noisy fitness functions; Population sizing; Scalability analysis; Genetic algorithms",Conference Paper,,Scopus,2-s2.0-34548099760
"Della Cioppa A., De Stefano C., Marcelli A.","Where are the niches? Dynamic fitness sharing",2007,"IEEE Transactions on Evolutionary Computation","11","4",,"453","465",,69,10.1109/TEVC.2006.882433,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547885395&doi=10.1109%2fTEVC.2006.882433&partnerID=40&md5=d8fe86908d7ff04635ad470a3cca131f","Evolutionary algorithms (EAs); Fitness sharing (FS); Niching; Speciation","Computational methods; Functions; Modal analysis; Dynamic fitness sharing; Fitness landscape; Multimodal fitness; Multimodal functions; Niching; Evolutionary algorithms",Article,,Scopus,2-s2.0-34547885395
"Goh C.K., Tan K.C.","An investigation on noisy environments in evolutionary multiobjective optimization",2007,"IEEE Transactions on Evolutionary Computation","11","3",,"354","381",,95,10.1109/TEVC.2006.882428,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250213640&doi=10.1109%2fTEVC.2006.882428&partnerID=40&md5=d6bb120b080404bb5072617dbd147fcf","Evolutionary algorithms (EAs); Multiobjective optimization; Noisy fitness function","Learning systems; Multiobjective optimization; Signal distortion; Spurious signal noise; Noisy environment; Noisy fitness function; Evolutionary algorithms",Article,,Scopus,2-s2.0-34250213640
"Bingul Z.","Adaptive genetic algorithms applied to dynamic multiobjective problems",2007,"Applied Soft Computing Journal","7","3",,"791","799",,62,10.1016/j.asoc.2006.03.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047260593&doi=10.1016%2fj.asoc.2006.03.001&partnerID=40&md5=b1853848f7f5cbcd2cb75c980e0204e4","Adaptive genetic algorithms; Combat simulation and multiobjective optimization; Force allocation; Fuzzy logic","Adaptive algorithms; Convergence of numerical methods; Fuzzy inference; Multiobjective optimization; Problem solving; Adaptive genetic algorithms; Combat simulation; Force allocation; Fuzzy inference systems; Genetic algorithms",Article,,Scopus,2-s2.0-34047260593
"Beyer H.-G., Meyer-Nieberg S.","Self-adaptation of evolution strategies under noisy fitness evaluations",2006,"Genetic Programming and Evolvable Machines","7","4",,"295","328",,18,10.1007/s10710-006-9017-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846695716&doi=10.1007%2fs10710-006-9017-3&partnerID=40&md5=b5c80d0cd6250b4e0a46b5bd4b178e6f","Evolution strategies; Noisy optimization; Noisy sphere model; Self-adaptation","Evolution strategies; Noisy optimization; Noisy sphere models; Self adaptation; Acoustic noise; Mathematical models; Microscopic examination; Optimization; Random processes; Stochastic control systems; Adaptive systems",Article,,Scopus,2-s2.0-33846695716
"Tezuka M., Munetomo M., Akama K., Hiji M.","Genetic algorithm to optimize fitness function with sampling error and its application to financial optimization problem",2006,"2006 IEEE Congress on Evolutionary Computation, CEC 2006",,, 1688293,"81","87",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547257866&partnerID=40&md5=333d99380b869bbda7ff845034f30391",,"Convergence of numerical methods; Financial data processing; Genetic algorithms; Monte Carlo methods; Optimization; Problem solving; Sampling; Financial problems; Procurement plans; Value at Risk; Function evaluation",Conference Paper,,Scopus,2-s2.0-34547257866
